,loss,binary_accuracy,group,train_size,trial
0,0.7319124341011047,0.5247875452041626,abstractor,5,0
1,0.6995417475700378,0.5297450423240662,abstractor,5,1
2,0.7713202834129333,0.48087817430496216,abstractor,5,2
3,0.7341515421867371,0.5134561061859131,abstractor,5,3
4,0.7662057280540466,0.5092067718505859,abstractor,5,4
5,0.72621089220047,0.5339943170547485,abstractor,5,5
6,0.7763460874557495,0.5021246671676636,abstractor,5,6
7,0.7962383031845093,0.5297450423240662,abstractor,5,7
8,0.7113103270530701,0.4985835552215576,abstractor,5,8
9,0.798560380935669,0.4893767833709717,abstractor,5,9
10,0.6855340600013733,0.5814447402954102,abstractor,100,0
11,0.73670494556427,0.5254957675933838,abstractor,100,1
12,0.6165308356285095,0.6593484282493591,abstractor,100,2
13,0.6975025534629822,0.620396614074707,abstractor,100,3
14,0.7034615874290466,0.5184136033058167,abstractor,100,4
15,0.7195807695388794,0.5056657195091248,abstractor,100,5
16,0.7093483209609985,0.5502833127975464,abstractor,100,6
17,0.7472527027130127,0.5439093708992004,abstractor,100,7
18,0.7199229598045349,0.5240793228149414,abstractor,100,8
19,0.7162857055664062,0.5191218256950378,abstractor,100,9
20,0.6554834842681885,0.6317280530929565,abstractor,200,0
21,0.6021192669868469,0.6643059253692627,abstractor,200,1
22,0.5920164585113525,0.6975920796394348,abstractor,200,2
23,0.6879093647003174,0.6777620315551758,abstractor,200,3
24,0.6622772812843323,0.6550991535186768,abstractor,200,4
25,0.6812791228294373,0.6012747883796692,abstractor,200,5
26,0.6470937132835388,0.6211048364639282,abstractor,200,6
27,0.6033706665039062,0.6713880896568298,abstractor,200,7
28,0.7021719217300415,0.529036819934845,abstractor,200,8
29,0.5772395730018616,0.7039660215377808,abstractor,200,9
30,0.45076072216033936,0.8151558041572571,abstractor,500,0
31,0.5793689489364624,0.7669971585273743,abstractor,500,1
32,0.3595241606235504,0.8385269045829773,abstractor,500,2
33,0.4581514894962311,0.8038243651390076,abstractor,500,3
34,0.48318666219711304,0.7740793228149414,abstractor,500,4
35,0.3636360168457031,0.8328611850738525,abstractor,500,5
36,0.4009663164615631,0.8130311369895935,abstractor,500,6
37,0.46386390924453735,0.7854107618331909,abstractor,500,7
38,0.40580374002456665,0.8257790207862854,abstractor,500,8
